,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
106,2004,4,16,27.9,16.5,4.3,46.4,1.4,11.2,0.0,0.0,0.0,2004-04-16,-0.0135593220338983,-62.37734608534658,True,11.013559322033897,280.64509673627475,True
479,2005,4,24,22.1,13.3,4.1,56.8,1.6,9.9,0.0,0.0,4.4,2005-04-24,-0.027777777777777776,-85.79449421193445,True,8.027777777777779,275.5765812170775,True
844,2006,4,24,18.8,11.8,3.2,39.9,2.5,10.5,0.0,0.0,0.0,2006-04-24,-0.11570512820512813,-65.80554794131976,True,6.015705128205129,275.74161638714486,True
1205,2007,4,20,20.0,15.5,7.2,69.6,2.4,2.1,0.0,0.0,7.3,2007-04-20,0.0,-53.529331529523404,True,10.4,275.9994962945436,True
1569,2008,4,18,26.1,16.3,8.0,65.1,1.3,11.4,0.0,0.0,0.5,2008-04-18,0.0,-66.37800152294636,True,11.200000000000001,280.5868509509314,True
1930,2009,4,14,20.3,16.3,13.6,73.5,1.5,1.9,4.5,0.0,8.6,2009-04-14,0.0,-47.99454265812045,True,11.200000000000001,276.60376342752244,True
2311,2010,4,30,18.5,12.4,5.4,41.9,2.3,9.3,0.0,0.0,1.4,2010-04-30,0.0,-62.46820310454382,True,7.300000000000001,273.9566951155141,True
2674,2011,4,28,18.4,10.7,3.0,49.0,1.7,10.3,0.0,0.0,1.4,2011-04-28,-0.14318181818181813,-81.56909958078042,True,5.743181818181817,275.53465453366965,True
3037,2012,4,25,15.6,13.5,12.8,93.4,0.9,0.0,52.0,0.0,10.0,2012-04-25,0.0,-79.97913313342596,True,8.4,274.9994993999805,True
3402,2013,4,25,21.2,12.8,3.7,57.0,1.6,11.0,0.0,0.0,1.3,2013-04-25,-0.05599999999999995,-68.93012111708573,True,7.4060000000000015,273.15869937523166,True
3759,2014,4,17,19.3,11.4,6.0,80.4,0.9,2.1,31.5,0.0,7.0,2014-04-17,0.0,-59.155954334270206,True,6.300000000000001,271.70872884512767,True
4129,2015,4,22,23.7,14.7,6.3,50.9,1.3,11.5,0.0,0.0,2.5,2015-04-22,0.0,-67.52797008715743,True,9.6,274.07734965912755,True
4490,2016,4,17,19.8,15.5,10.5,44.1,3.2,12.1,3.9,0.0,0.0,2016-04-17,0.0,-62.6304631146731,True,10.4,273.3407311807005,True
4857,2017,4,19,22.2,14.6,7.8,36.1,1.8,12.2,0.0,0.0,0.0,2017-04-19,0.0,-63.15947140157796,True,9.5,278.8075725712431,True
5223,2018,4,20,28.4,14.5,5.7,53.4,1.0,11.7,0.0,0.0,0.0,2018-04-20,0.0,-50.75702091897038,True,9.4,278.64748671194934,True
5587,2019,4,19,16.6,12.7,9.1,82.0,0.8,0.9,0.0,0.0,8.5,2019-04-19,0.0,-51.60846856613798,True,7.6,271.16642325171114,True
5953,2020,4,19,14.0,10.8,8.8,90.3,0.7,0.1,30.0,0.0,8.8,2020-04-19,0.0,-46.91761409242769,True,5.700000000000001,274.37129055651053,True
6312,2021,4,13,20.6,14.4,6.1,62.3,1.5,9.0,2.2,0.0,6.4,2021-04-13,0.0,-36.298880016032605,True,9.3,276.3827332176043,True
6680,2022,4,16,20.6,11.6,4.1,61.9,1.2,12.0,0.0,0.0,3.4,2022-04-16,-0.030303030303030304,-70.69573016758801,True,7.280303030303032,277.0715055559335,True
7037,2023,4,11,21.0,15.2,6.4,79.9,1.5,2.9,0.0,0.0,7.1,2023-04-11,0.0,-46.444991825439146,True,10.1,276.19016825038614,True
7401,2024,4,14,26.6,16.5,7.0,68.3,0.8,10.2,0.0,0.0,5.3,2024-04-14,0.0,-45.97625846827641,True,11.4,274.7005538374126,True
