,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
110,2004,4,20,23.9,17.0,10.8,58.0,2.2,9.1,0.0,0.0,3.1,2004-04-20,0.0,-85.22856375463263,True,12.0,255.55100188391435,True
483,2005,4,28,26.7,19.4,16.2,64.4,2.5,4.5,0.0,0.0,6.0,2005-04-28,0.0,-110.8155488428243,False,14.399999999999999,259.3514045174922,True
851,2006,5,1,25.1,16.9,10.9,55.5,1.3,4.8,0.0,0.0,4.1,2006-05-01,0.0,-99.45618988948854,True,11.899999999999999,252.16241323908585,True
1213,2007,4,28,24.5,14.8,4.0,44.3,1.4,12.0,0.0,0.0,0.3,2007-04-28,-0.024390243902439025,-80.00495003831738,True,9.274390243902438,250.13439644174866,True
1573,2008,4,22,20.9,16.0,12.7,57.8,0.6,0.0,4.0,0.0,10.0,2008-04-22,0.0,-101.23115964536112,True,11.0,253.63909488004344,True
1938,2009,4,22,12.9,9.6,4.8,59.3,2.3,3.2,0.0,0.0,6.6,2009-04-22,-0.0024691358024691397,-94.08267920686534,True,3.8524691358024685,245.54238403242078,True
2317,2010,5,6,21.6,16.5,12.2,73.8,2.6,2.7,10.0,0.0,8.4,2010-05-06,0.0,-104.62555924241511,True,11.5,255.55099273511445,True
2680,2011,5,4,21.7,13.2,6.4,56.1,0.5,4.9,0.0,0.0,4.4,2011-05-04,0.0,-119.64658603008907,False,8.2,245.79740031814794,True
3042,2012,4,30,30.1,20.9,11.1,53.0,1.3,12.3,0.0,0.0,0.1,2012-04-30,0.0,-114.50405509064522,False,15.899999999999999,260.46932515177633,True
3413,2013,5,6,25.0,16.4,6.4,52.6,1.6,11.1,0.0,0.0,0.0,2013-05-06,0.0,-124.9970079919305,False,11.399999999999999,248.14440255478263,True
3759,2014,4,17,21.7,14.5,8.6,73.5,1.1,2.1,1.2,0.0,8.8,2014-04-17,0.0,-81.75388519522528,True,9.5,253.53433199360828,True
4132,2015,4,25,24.6,15.4,5.2,41.3,1.6,12.6,0.0,0.0,0.0,2015-04-25,0.0,-93.30495712641485,True,10.4,252.69841168622833,True
4493,2016,4,20,21.2,14.8,8.5,58.8,1.8,5.8,0.0,0.0,8.3,2016-04-20,0.0,-87.14981985743383,True,9.8,252.4212160078495,True
4860,2017,4,22,22.0,14.2,6.1,55.4,1.4,12.1,0.0,0.0,0.0,2017-04-22,0.0,-91.95084275837966,True,9.2,247.26783637338704,True
5223,2018,4,20,29.1,17.9,7.7,61.3,1.1,11.2,0.0,0.0,0.0,2018-04-20,0.0,-83.33726333833577,True,12.899999999999999,248.8151519796857,True
5592,2019,4,24,26.7,20.4,15.5,69.9,1.2,3.7,5.4,0.0,0.0,2019-04-24,0.0,-89.6799448876022,True,15.399999999999999,245.79480905126792,True
5959,2020,4,26,18.4,11.7,4.4,48.4,1.5,9.4,0.0,0.0,0.0,2020-04-26,-0.012857142857142845,-70.66045064481327,True,6.412857142857143,249.16103959108,True
6312,2021,4,14,16.3,9.5,2.0,49.9,2.1,12.2,0.0,0.0,0.0,2021-04-14,-0.3146853146853147,-47.8396698585556,True,4.4646853146853145,247.02420666227647,True
6683,2022,4,20,23.9,14.5,4.6,46.3,1.6,12.1,0.0,0.0,0.0,2022-04-20,-0.0041450777202072615,-84.97220682952248,True,9.254145077720207,252.84044947248339,True
7045,2023,4,17,15.3,10.5,4.3,69.9,1.3,2.5,0.0,0.0,8.5,2023-04-17,-0.022272727272727284,-81.47229892973384,True,4.822272727272728,249.52654627664813,True
7407,2024,4,18,26.5,17.3,7.2,53.6,1.2,11.2,0.0,0.0,0.0,2024-04-18,0.0,-82.34562354719901,True,12.3,250.42067003807227,True
