,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
108,2004,4,18,26.9,18.6,8.1,42.8,1.7,6.5,5.0,0.0,6.1,2004-04-18,0.0,-70.13961157551324,True,13.600000000000001,237.2054228069656,True
482,2005,4,27,23.1,15.4,10.3,51.0,3.2,4.2,0.1,0.0,7.0,2005-04-27,0.0,-93.13527403131914,True,10.4,238.65110496834404,True
848,2006,4,28,19.1,11.3,5.1,59.5,1.8,7.6,0.0,0.0,4.8,2006-04-28,0.0,-80.87756618761127,True,6.300000000000001,238.99810790923055,True
1209,2007,4,24,16.8,11.8,8.3,62.1,1.6,3.0,0.0,0.0,6.8,2007-04-24,0.0,-53.52904610644572,True,6.800000000000001,239.00830308742718,True
1569,2008,4,18,25.9,16.5,9.9,59.1,1.7,11.9,0.0,0.0,0.0,2008-04-18,0.0,-79.09670638447488,True,11.5,238.60355855672736,True
1936,2009,4,20,17.5,14.3,10.8,79.8,4.2,0.0,29.5,0.0,10.0,2009-04-20,0.0,-83.07503363090632,True,9.3,237.74364108483388,True
2313,2010,5,2,24.4,16.7,6.8,60.3,1.5,12.0,0.0,0.0,0.6,2010-05-02,0.0,-83.39353700494321,True,11.7,235.7516674074786,True
2679,2011,5,3,19.1,13.1,8.7,54.1,2.0,10.6,0.0,0.0,2.3,2011-05-03,0.0,-100.85272074592008,True,8.1,233.14117765989712,True
3039,2012,4,27,23.3,14.4,6.1,47.9,2.2,12.1,0.0,0.0,0.8,2012-04-27,0.0,-85.9283437451953,True,9.4,235.87471054046847,True
3410,2013,5,3,18.5,11.8,7.2,74.3,1.6,5.5,0.0,0.0,5.4,2013-05-03,0.0,-99.5354029707761,True,6.800000000000001,235.23668242420055,True
3757,2014,4,15,18.8,12.8,7.2,78.6,1.6,5.7,0.0,0.0,4.1,2014-04-15,0.0,-58.88218330864753,True,7.800000000000001,235.96392654310864,True
4127,2015,4,20,16.6,12.4,8.6,78.1,2.1,3.4,6.3,0.0,6.1,2015-04-20,0.0,-73.88194249620216,True,7.4,235.5810126393111,True
4489,2016,4,16,21.6,14.9,8.3,71.6,2.6,1.7,29.6,0.0,7.6,2016-04-16,0.0,-73.13676622791856,True,9.9,241.7574720929424,True
4857,2017,4,19,18.0,12.4,5.6,53.1,2.4,11.6,0.0,0.0,1.6,2017-04-19,0.0,-77.89463499205361,True,7.4,233.22940690176134,True
5218,2018,4,15,14.9,9.2,5.7,77.9,2.0,8.4,0.0,0.0,4.5,2018-04-15,0.0,-64.38189598264317,True,4.199999999999999,235.23999012764392,True
5590,2019,4,22,29.2,18.1,8.5,63.4,1.3,11.0,0.0,0.0,2.6,2019-04-22,0.0,-68.35002344828335,True,13.100000000000001,242.83602038826265,True
5957,2020,4,23,12.8,8.0,3.1,64.3,4.0,11.9,0.0,0.0,1.1,2020-04-23,-0.1860824742268041,-54.933182309179614,True,3.1360824742268045,234.69581874318476,True
6310,2021,4,11,22.4,13.9,4.7,59.0,1.2,11.0,0.0,0.0,3.4,2021-04-11,-0.0025423728813559294,-33.683866810803586,True,8.552542372881355,236.30849605654464,True
6682,2022,4,18,20.8,13.6,9.0,50.6,1.7,8.0,0.0,0.0,6.3,2022-04-18,0.0,-57.23720557793876,True,8.6,233.39805605390995,True
7042,2023,4,13,18.4,11.3,3.7,44.6,1.2,4.5,0.0,0.0,5.8,2023-04-13,-0.0574829931972789,-63.91704407810116,True,6.107482993197278,236.50246595284918,True
7405,2024,4,15,19.4,15.1,10.7,81.4,2.5,0.0,17.1,0.0,9.1,2024-04-15,0.0,-55.617675388569815,True,10.1,242.02165224869762,True
