,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
110,2004,4,20,23.9,17.0,10.8,58.0,2.2,9.1,0.0,0.0,3.1,2004-04-20,0.0,-282.8177100969405,False,12.0,255.55100188391435,True
482,2005,4,27,23.6,16.1,7.2,49.9,2.5,6.2,0.0,0.0,8.4,2005-04-27,0.0,-204.07021815432324,False,11.100000000000001,244.95140451749222,True
851,2006,5,1,25.1,16.9,10.9,55.5,1.3,4.8,0.0,0.0,4.1,2006-05-01,0.0,-215.17668374542043,False,11.899999999999999,252.16241323908585,True
1213,2007,4,28,24.5,14.8,4.0,44.3,1.4,12.0,0.0,0.0,0.3,2007-04-28,-1.5256097560975626,-246.39598333075483,False,9.274390243902438,250.13439644174866,True
1573,2008,4,22,20.9,16.0,12.7,57.8,0.6,0.0,4.0,0.0,10.0,2008-04-22,0.0,-194.45929723043437,False,11.0,253.63909488004344,True
1938,2009,4,22,12.9,9.6,4.8,59.3,2.3,3.2,0.0,0.0,6.6,2009-04-22,-0.9475308641975313,-182.8736017385184,False,3.8524691358024685,245.54238403242078,True
2316,2010,5,5,26.7,20.0,11.5,58.3,1.1,2.8,0.0,0.0,7.8,2010-05-05,0.0,-258.950896082824,False,15.0,244.05099273511445,True
2680,2011,5,4,21.7,13.2,6.4,56.1,0.5,4.9,0.0,0.0,4.4,2011-05-04,0.0,-265.45915994338617,False,8.2,245.79740031814794,True
3041,2012,4,29,26.2,18.0,10.0,62.8,0.9,8.2,0.0,0.0,6.8,2012-04-29,0.0,-207.0088367334818,False,13.0,244.56932515177633,True
3413,2013,5,6,25.0,16.4,6.4,52.6,1.6,11.1,0.0,0.0,0.0,2013-05-06,0.0,-273.6976721039423,False,11.399999999999999,248.14440255478263,True
3758,2014,4,16,20.2,14.7,10.2,79.9,1.3,3.5,0.0,0.0,6.3,2014-04-16,0.0,-185.32360418696626,False,9.7,244.03433199360828,True
4132,2015,4,25,24.6,15.4,5.2,41.3,1.6,12.6,0.0,0.0,0.0,2015-04-25,0.0,-194.5119963534535,False,10.4,252.69841168622833,True
4493,2016,4,20,21.2,14.8,8.5,58.8,1.8,5.8,0.0,0.0,8.3,2016-04-20,0.0,-144.83016028210753,False,9.8,252.4212160078495,True
4860,2017,4,22,22.0,14.2,6.1,55.4,1.4,12.1,0.0,0.0,0.0,2017-04-22,0.0,-232.59689968260406,False,9.2,247.26783637338704,True
5223,2018,4,20,29.1,17.9,7.7,61.3,1.1,11.2,0.0,0.0,0.0,2018-04-20,0.0,-151.00926764047867,False,12.899999999999999,248.8151519796857,True
5592,2019,4,24,26.7,20.4,15.5,69.9,1.2,3.7,5.4,0.0,0.0,2019-04-24,0.0,-263.5992625665812,False,15.399999999999999,245.79480905126792,True
5959,2020,4,26,18.4,11.7,4.4,48.4,1.5,9.4,0.0,0.0,0.0,2020-04-26,-0.8871428571428561,-266.00320942226034,False,6.412857142857143,249.16103959108,True
6312,2021,4,14,16.3,9.5,2.0,49.9,2.1,12.2,0.0,0.0,0.0,2021-04-14,-3.0353146853146855,-200.06318657646602,False,4.4646853146853145,247.02420666227647,True
6683,2022,4,20,23.9,14.5,4.6,46.3,1.6,12.1,0.0,0.0,0.0,2022-04-20,-0.6458549222797938,-206.6784393642289,False,9.254145077720207,252.84044947248339,True
7044,2023,4,16,15.0,9.5,4.8,76.3,1.5,1.5,0.5,0.0,5.5,2023-04-16,0.20196078431372566,-252.19156686394408,False,4.901960784313726,244.70427354937542,True
7407,2024,4,18,26.5,17.3,7.2,53.6,1.2,11.2,0.0,0.0,0.0,2024-04-18,0.0,-181.02681334778026,False,12.3,250.42067003807227,True
